Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
foaming-kitchen-cleaner,Foaming Kitchen Cleaner,"<p>Plant-powered foaming cleaner that lifts grease without scrubbing. Safe for food-prep surfaces.</p>",Purelane,Cleaner,"bestseller, badge:Best seller",true,Size,500ml,,,,,PL-KIT-500,500,shopify,0,deny,manual,200,299,true,true,,https://cdn.shopify.com/s/files/1/placeholder-kitchen.jpg,1,Foaming Kitchen Cleaner,false,Foaming Kitchen Cleaner | Purelane,Plant-powered foaming kitchen cleaner,,,,,,,,,,,,,,,,,g,,,active
tap-cleaner-limescale,Tap Cleaner & Limescale Remover,"<p>Dissolves hard water stains and limescale on taps, fittings, and showerheads. No harsh acids.</p>",Purelane,Cleaner,"bestseller, badge:Best seller",true,Size,500ml,,,,,PL-TAP-500,500,shopify,50,deny,manual,200,299,true,true,,https://cdn.shopify.com/s/files/1/placeholder-tap.jpg,1,Tap Cleaner & Limescale Remover,false,Tap Cleaner & Limescale Remover | Purelane,Removes hard water stains safely,,,,,,,,,,,,,,,,,g,,,active
copper-bronze-brass-cleaner,Copper Bronze & Brass Cleaner,"<p>Restores shine to copper, bronze, and brass without abrasive scratching. Gentle, effective formula.</p>",Purelane,Cleaner,"top-rated, badge:Top rated",true,Size,300ml,,,,,PL-COP-300,300,shopify,30,deny,manual,200,299,true,true,,https://cdn.shopify.com/s/files/1/placeholder-copper.jpg,1,Copper Bronze & Brass Cleaner,false,Copper Bronze & Brass Cleaner | Purelane,Restore metal shine naturally,,,,,,,,,,,,,,,,,g,,,active
washing-machine-descaler,Washing Machine Cleaner & Descaler,"<p>Deep-clean your washing machine with plant-derived descaling tablets. Removes buildup and odour.</p>",Purelane,Cleaner,"new, badge:New",true,Size,8 Tablets,,,,,PL-WM-008,200,shopify,40,deny,manual,200,299,true,true,,https://cdn.shopify.com/s/files/1/placeholder-wm.jpg,1,Washing Machine Cleaner & Descaler,false,Washing Machine Cleaner & Descaler | Purelane,Plant-derived descaling tablets,,,,,,,,,,,,,,,,,g,,,active
floor-cleaner-herbal,Natural Herbal Floor Cleaner,"<p>Neem-powered floor cleaner that kills 99.9% germs. Safe for pets and children.</p>",Purelane,Cleaner,bestseller,true,Size,1L,,,,,PL-FLR-1L,1000,shopify,60,deny,manual,200,299,true,true,,https://cdn.shopify.com/s/files/1/placeholder-floor.jpg,1,Natural Herbal Floor Cleaner,false,Natural Herbal Floor Cleaner | Purelane,Neem-powered germ protection,,,,,,,,,,,,,,,,,g,,,active
toilet-cleaner,Non-Toxic Toilet Cleaner,"<p>Kills 99.9% of germs without chlorine or synthetic fragrances. Septic safe.</p>",Purelane,Cleaner,,true,Size,500ml,,,,,PL-TBC-500,500,shopify,45,deny,manual,200,299,true,true,,https://cdn.shopify.com/s/files/1/placeholder-toilet.jpg,1,Non-Toxic Toilet Cleaner,false,Non-Toxic Toilet Cleaner | Purelane,Septic-safe germ killer,,,,,,,,,,,,,,,,,g,,,active
laundry-detergent,Non-Toxic Laundry Detergent for Sensitive Skin and Baby Clothes with Extra Softening Power and Long-Lasting Natural Fragrance,"<p>Extra-softening laundry detergent with natural fragrance. Tough on stains, gentle on fabric and skin.</p>",Purelane,Laundry,,true,Size,1L,,,,,PL-LND-1L,1000,shopify,35,deny,manual,200,299,true,true,,https://cdn.shopify.com/s/files/1/placeholder-laundry.jpg,1,Non-Toxic Laundry Detergent,false,Non-Toxic Laundry Detergent | Purelane,Plant-based laundry care,,,,,,,,,,,,,,,,,g,,,active
dishwash-gel,Organic Dishwash Liquid Gel,"<p>Cuts through grease while being kind to hands. No sulphates, no synthetic fragrance.</p>",Purelane,Cleaner,,true,Size,500ml,,,,,PL-DSH-500,500,shopify,55,deny,manual,200,299,true,true,,https://cdn.shopify.com/s/files/1/placeholder-dish.jpg,1,Organic Dishwash Liquid Gel,false,Organic Dishwash Liquid Gel | Purelane,Gentle on hands tough on grease,,,,,,,,,,,,,,,,,g,,,active
handwash-gentle,Gentle Hydrating Liquid Handwash,"<p>Hydrating handwash with plant-derived cleansers. Soft on skin, never drying.</p>",Purelane,Skin,,true,Size,300ml,,,,,PL-HND-300,300,shopify,25,deny,manual,200,299,true,true,,https://cdn.shopify.com/s/files/1/placeholder-hand.jpg,1,Gentle Hydrating Liquid Handwash,false,Gentle Hydrating Liquid Handwash | Purelane,Hydrating plant-based handwash,,,,,,,,,,,,,,,,,g,,,active
magic-eraser,Magic Eraser,"<p>Scrubs away soap scum and tough stains without scratching surfaces. Reusable sponge.</p>",Purelane,Cleaner,,true,Size,Pack of 2,,,,,PL-ERS-002,100,shopify,0,deny,manual,150,249,true,true,,,1,Magic Eraser,false,Magic Eraser | Purelane,Reusable scrubbing sponge,,,,,,,,,,,,,,,,,g,,,active
